1,301,0
2,393,0
3,148,1
4,33,1
5,150,1
6,343,0
7,135,1
8,103,1
9,340,0
10,93,1
11,329,0
12,98,1
13,219,0
14,310,0
15,113,1
16,29,1
17,349,0
18,254,0
19,58,1
20,464,0
21,96,1
22,413,0
23,74,1
24,211,0
25,102,1
26,337,0
27,278,0
28,130,1
29,48,1
30,320,0
31,345,0
32,462,0
33,233,0
34,397,0
35,65,1
36,40,1
37,374,0
38,492,0
39,494,0
40,290,0
41,2,1
42,168,0
43,199,0
44,344,0
45,275,0
46,438,0
47,153,1
48,59,1
49,311,0
50,376,0
51,395,0
52,101,1
53,398,0
54,263,0
55,127,1
56,177,0
57,416,0
58,79,1
59,99,1
60,205,0
61,9,1
62,243,0
63,264,0
64,240,0
65,259,0
66,176,0
67,247,0
68,208,0
69,386,0
70,306,0
71,178,0
72,286,0
73,375,0
74,414,0
75,107,1
76,297,0
77,487,0
78,209,0
79,364,0
80,284,0
81,112,1
82,481,0
83,381,0
84,382,0
85,229,0
86,31,1
87,171,0
88,353,0
89,80,1
90,5,1
91,432,0
92,271,0
93,451,0
94,388,0
95,104,1
96,318,0
97,335,0
98,466,0
99,446,0
100,85,1
101,361,0
102,450,0
103,496,0
104,84,1
105,348,0
106,430,0
107,202,0
108,491,0
109,181,0
110,20,1
111,94,1
112,164,0
113,272,0
114,483,0
115,105,1
116,425,0
117,189,0
118,100,1
119,83,1
120,367,0
121,455,0
122,308,0
123,279,0
124,136,1
125,63,1
126,46,1
127,81,1
128,30,1
129,419,0
130,292,0
131,339,0
132,380,0
133,146,1
134,156,1
135,235,0
136,172,0
137,206,0
138,116,1
139,123,1
140,249,0
141,434,0
142,8,1
143,66,1
144,255,0
145,222,0
146,70,1
147,443,0
148,389,0
149,158,0
150,283,0
