51744,46963
81259,26332
309,5120
86753,81589
62956,31955
90320,1315
83459,33069
70620,83045
46670,23428
50899,12766
47242,23428
12667,20023
46957,23428
64492,87544
41366,77105
537,5120
83470,7961
47247,23428
67267,40373
35186,33787
42108,7302
65007,62259
18020,69471
2874,96716
64089,39618
41539,90267
25554,52050
32515,86280
34568,33787
55599,95437
9063,96009
60789,5827
18713,69471
7332,33625
6555,33625
55185,95437
30998,42277
8183,96009
31672,86280
89845,56338
52068,46963
89820,52858
70490,28879
21326,18425
31775,86280
72784,37092
13589,52462
51988,46963
17453,69471
34380,72866
56741,39582
45516,37068
57593,39582
9313,96009
6530,33625
2845,96716
19173,64036
13957,52462
80978,86127
63307,20190
50414,12766
71460,97338
47059,23428
70155,79179
12893,20023
13870,52462
34706,33787
39131,19835
14467,52462
65888,9910
44470,37068
13603,52462
19954,64036
22489,18425
36807,29483
7219,33625
33039,72866
49230,5443
90021,1632
56719,39582
74303,29841
65332,25638
12103,20023
86569,61093
87164,96905
76002,25687
55500,95437
79923,41157
64593,14726
29716,38316
28111,84085
45857,33177
88803,95135
41313,77105
2801,96716
30491,31426
26634,55727
12532,20023
61160,76022
34587,33787
12993,20023
1098,5120
72282,10408
47271,23428
34314,72866
39934,19835
47943,99388
81940,81506
71506,63684
29728,38316
50274,12766
53492,52965
65104,52858
37799,87524
7329,33625
21128,18425
28435,84085
17869,69471
39628,19835
62431,13798
38410,87524
444,5120
82352,76022
42944,65843
82915,57790
60083,67399
55253,95437
90035,78091
73408,85834
12025,20023
2332,96716
9433,96009
85869,59527
25192,5734
63473,4148
81190,19781
1908,5120
21712,18425
39337,19835
78387,10949
74444,67538
72213,36562
28834,84085
75574,61206
40725,77105
77307,86419
57889,39582
30684,42277
39887,19835
18405,69471
25187,5734
78261,4087
18453,69471
202,5120
45991,33177
30144,38316
48177,99388
4797,41805
58921,42460
3295,96716
49920,12766
53777,52965
82276,66445
43360,65843
55697,54461
78132,20838
80700,73799
34489,72866
42764,65843
1918,96716
14004,52462
33872,72866
83651,38824
58711,24047
58073,95010
88244,55197
53354,52965
11874,77173
